1	-(o)logy 	study, science, theory 	noun 		biology</br> archeology	Suffix	MSU	
2	a</br> an 	without</br> not 	Greek/Latin root	 Atypical=not typical</br>Atheist =one who does not believe in God</br>Atrophy=wasting away</br>deterioration	asexual</br> amoral</br> anarchy</br> anhydrous</br> Anabaptist</br> anachronism 	Greek/Latin 	MSU	
3	ab</br> abs</br> a 	apart</br> away from 	Greek/Latin root	Abnormal=deviating  normal</br>Abhor=to hate</br> detest</br>Abominate=to detest</br>Abduct=to take by force</br>Abstruse=hard to understand</br>Abstract=considered apart  normal existence	abnormal</br> abduct</br> abductor (muscle)</br> abscission 	Greek/Latin 	MSU	
4	abate	to diminish in intensity, become less intense or widespread	verb	to cause to diminish in intensity, </br>Synonyms: subside, die away, die down	The <u>Covid pandemic  will</u>, with or without successful retaining measures,  <u>eventually <b>abate</b></u>...	357 prevalent GRE words	Prepscholar	
5	ac	sharp</br> bitter	Greek/Latin root	"Greek</br> PIE : be sharp</br> rise (out) to a point</br> pierce. SUBFORMS ARE</br>akros ""at the end</br> at the top</br> outermost; consummate</br> excellent</br>"" akis ""sharp point</br>""</br> akros ""at the farthest point</br> highest</br> outermost</br>""</br>akantha ""thorn</br>"" akme ""summit</br> edge</br>"" oxys ""sharp</br> bitter;"" "	Acute =sharp</br> severe</br>Acerbic=sour or astringent in taste</br>Acrid=unpleasantly sharp or bitter</br>Acidic=something that is sour</br> Acrimony-bitter animosity</br>acrylic (liquid originally found in onions that make eyes tear)	Root words	Aristotle	
6	aberrant	deviating from normal or correct.  diverging from the standard type	adjective	"  Latin lit. & fig., :  ab =""off, away "" + errare=""to wander, stray"""" . Meaning=  to wonder off and fig. ""deviation  the normal type"	With this <u><b>aberrant</b> mindset</u> there is little chance of success in ethical business,  so some   choose crooked ways to earn their keep.	357 prevalent GRE words	Prepscholar	
7	aberration	a departure from what is normal, usual, or expected	 noun	"Latin lit. & fig., :  ab =""off, away "" + errare=""to wander, stray"""" . Meaning=  to wonder off and fig. ""deviation  the normal type"	The unexpected results were a <u>statistical <b>aberration<b></u>	Least Difficult	FT	
8	abjure	 to reject or renounce	verb	" Latin abiurare ""deny on oath,""  ab ""off, away "" (see ab-) + iurare ""to swear,</br></br></br></br></br></br></br></br></br>Synonyms: relinquish, reject, disavow"	Since 1986 he has been asking candidates for public office to sign his Taxpayer Protection Pledge, in which they <u><b>abjure</b> tax increases</u> of any sort forever.	357 prevalent GRE words	Prepscholar	
9	-able, -ible 	able, can do 	verb  adjective		capable</br> agreeable</br> visible 	Suffix	MSU	
10	abreast 	Up to date with the latest news, ideas, or information	adjective 	Synonyms: in touch with, plugged into	These daily updates were designed to help readers <u>keep <b>abreast</b> of the market</u>	Least Difficult	FT	
12	abscond	 to leave secretly, evading detection	verb	"Latin:   ab=""off, away "" + condere ""put together, store,"" itself  com- ""together""  + -dere ""put,"""	The boarding school scholar <u><b>absconded</b> from the schoolgrounds</u> without informing anyone	357 prevalent GRE words	Prepscholar	
13	abstain	 to voluntarily refrain from doing something	verb	Synonyms: refrain, desist, hold back	Doctors encourage their patients to <u><b>abstain</b> from smoking </u>cigarettes.	357 prevalent GRE words	FT	
15	abyss	a deep or seemingly bottomless chasm	noun	Synonyms: gorge, ravine, void	President Maduro announced that, while his country  now <u>stood at the edge of an <b>abyss,</b></u> he would confidently take the country one  step forward !	Least Difficult	FT	
16	acumen	 keen judgment and perception,  the ability to make good judgments and quick decisions, typically in a particular domain	noun	Synonyms: astuteness, awareness, acuity                              </br>Deutsch : Scharfsinn, Geschick	He was unable to run a profitable restaurant because <u>he lacked business <b>acumen</b></u>	357 prevalent GRE words	Prepscholar	
17	ad 	toward</br> to	Greek/Latin root	Sometimes broader than ad</br> eg  (ac</br> al</br> af</br> an</br> ap</br> as</br> at)	adhere= stick to</br> adductor = muscle brings hips together </br>  adumbrate =to create shodowy(umbra) outline	Greek/Latin 	MSU	
18	-ade 	result of action 	verb or noun		blockade</br> lemonade 	Suffix	MSU	
19	adept 	Very skilled or proficient at something; very good at doing something that is not easy	adjective	Synonyms: expert, proficient, accomplished	An abundance of clever people — <b><u>adept</b> in English law</u> as much as in finance—  are employed at well paying  banks and hedge funds	Least Difficult	FT	
20	admonish	 scold or to advise firmly	verb		The security guard <b>admonished</b> the customer <u>to wear a face mask</u> in the store during these CoVid times	357 prevalent GRE words	Prepscholar	
21	adulterate	 to contaminate or make impure by introducing inferior elements. 	verb		World class chefs use fresh produce and<u> refuse to <b>adulterate</b> their dishes</u> with canned ingredients.	357 prevalent GRE words	Prepscholar	
23	advocate	 to recommend, support, or advise, to speak, plead, or argue for a cause, or in another’s behalf. (n) -- one who advocates.	verb	n. one who advocates	The<u> teacher <b>advocated</b> for students with special needs</u>	357 prevalent GRE words	Prepscholar	
24	aesthetic	 concerned with the nature of beauty and art	adjective	ic=nature of, like	The critics <u>admire the work of art for its<b> aesthetic</b> value</u>	357 prevalent GRE words	Prepscholar	
25	affectation	 fake or artificial behavior, often meant to impress or conceal the truth	noun		The poor man’s <b><u>affectation</b> of wealth</u> did not fool any of the elite at the party.	357 prevalent GRE words	Prepscholar	
26	-age 	act of</br> state of</br> collection of 	suffix	added to root words (often French) to form a noun 	salvage</br> storage</br> forage 	Suffix	MSU	
27	agere 	act 	Greek/Latin root		agent</br> agency</br> agenda 	Greek/Latin 	MSU	
29	aggrandize	to make greater, to increase, thus, to exaggerate. enlarge or increase, esp. wealth, power, reputation	verb		The <u>arrogant man’s self-<b>aggrandizing</b> is so annoying</u> that I refuse to listen to him brag	357 prevalent GRE words	Prepscholar	
30	agog	 Very eager or curious to hear or see something	adjective	Synonyms: excited, impatient, in suspense	The little <u>kids were <b>agog </b>as they waited for Santa Claus</u> to arrive.	Least Difficult	FT	
31	-al 	relating to 	verb or noun  adjective		sensual</br> gradual</br> manual</br> natural 	Suffix	MSU	
32	alacrity	 promptness and eagerness	noun	</br>Deutsch : Verve, Eifrigkeit	Although Apple has in the past <u>expanded</u> its production capacities <u>with <b>alacrity</u></b>, it was not always able to  meet demand	357 prevalent GRE words	Prepscholar	
33	-algia 	pain 	Greek/Latin root		neuralgia(pain caused by nerve)</br> arthralgia (joint pain)</br> 	Suffix	MSU	
34	alleviate	 to relieve a problem or ease a burden	verb	 latin : alleviare =  to lift up, to raise, to lighten.    </br>Deutsch : mildern, erleichtern	Do good works, alleviate the suffering and misery, comfort and refresh the sick</br>Alleviate the effects of the pandemic	357 prevalent GRE words	Prepscholar	
35	allure	the quality of being powerfully and mysteriously attractive or fascinating	noun	Synonyms : attraction, lure, draw. </br>Deutsch : Reiz, Fazination, Anziehungskraft	Yet it was the allure of the Model T for millions of consumers that finally drove the horse off the road.	Least Difficult	FT	
36	altruism	the belief in or practice of selfless concern for the well-being of others	noun	Synonyms: selflessness, compassion, goodwill.     </br>Deutsch : Uneigennützigkeit, Selbstlosigkeit.  </br> Latin/(old french) :  alter/(altrui) = others	He was not the first to wonder about the connection between religion and altruism	Least Difficult	FT	
38	amalgamate	 to combine to or mix together	verb	Amalgan = Hg metal alloy for tooth fillings	The 2 companies amalgamated into one	357 prevalent GRE words	Prepscholar	
40	ambiguous	 unclear	adjective	"adj. open to multiple interpretations.  PIE root *ambhi- ""around"") + agere ""drive, lead, act"" .  </br>Deutsch : unklar"	Partly cloudy with a chance of rain makes for an ambiguous weather forecast	357 prevalent GRE words	Prepscholar	
41	ambiguous </br> ambivalent	vague; capable of various interpretations	adjective	valence = strong, power. being of two minds</br> holding conflicting feelings or attitudes<br>ambivalent is ONE OF THE 5 MOST COMMON MISTAKES made in the GRE! 	Not only were the statements ambiguous,but further adding to the confusion was the fact that the author was ambivalent in his opinion.  	Easily confused words	MSU	
42	ambivalent	having mixed feelings or contradictory ideas about something or someone	adjective	ambivalent is ONE OF THE 5 MOST COMMON MISTAKES made in the GRE! <br>It does NOT mean indifferent !!!S<br>ynonyms: equivocal, uncertain, unsure	The first was a chronic lack of focus. Right from the start Yahoo was ambivalent about whether it should be a media or a technology company.	357 prevalent GRE words	Prepscholar	
44	ambrosial	extremely pleasing to the senses, divine (as related to the gods) or delicious (n: ambrosia)	adjective		The garden with its <u><b>ambrosial</b> and exotic blossoms</u> and fruit trees is a place for relaxation and privacy	Common GRE	MSU	
45	ameliorate	 to improve or mitigate a situation	verb	 French, latin : améliorer	Longer breaks significantly <b><u>ameliorated<b/> the working conditions</u> in the factory. 	357 prevalent GRE words	Prepscholar	
46	amenable	 easily convinced or persuaded	adjective	 French, latin : ad + mener (= to lead (F), to drive cattle (Latin)	Group trips with <b><u>amenable</b> people are  pleasant.</u>	357 prevalent GRE words	Prepscholar	
47	amphi</br>	round</br> 	Greek/Latin root		amphitheater</br> amphibian</br> 	Greek/Latin 	MSU	
48	-an, ian 	native of, pertaining to 	noun  adjective		American</br> Martian</br> antediluvian 	Suffix	MSU	
50	anachronism	 something old-fashioned, a person or artifact appearing after its own time or out of chronological order (adj: anachronistic)	noun	" Latin/Greek : ""against"" (see ana-) + khronos ""time"" (see chrono-)= something appearing in a time period where it does not belong"	A  steam engine  in our modern digitised  world is nothing more than an <b>anachronism</b>. 	357 prevalent GRE words	Prepscholar	
51	analogous	 comparable, similar	noun	" Greek :  ana ""throughout; according to""  + logos ""ratio, proportionn.           </br>Deutsch= entsprechend                     Noun = appropriate for analogy"	One can solve all the other problems in <u>an <b>analagous</b> manner.</u>	357 prevalent GRE words	Prepscholar	
52	-ance, ancy 	action, process, state 	verb  noun		assistance</br>allowance</br>defiance 	Suffix	MSU	
53	annul	Declare invalid	verb	Synonyms: repeal, reverse, rescind	The election results were annulled after electoral fraud was proven to have taken place.	Least Difficult	FT	
54	anoint	 to choose for a particular office or position	verb	v. to use oil on a person in a religious ceremony	Using holy oil, the pastor placed his hands on the woman’s head in order to anoint her	357 prevalent GRE words	Prepscholar	
55	anomalous	peculiar; unique, contrary to the norm (n: anomaly)	adjective	" Latin/Greek anomalia= ""inequality , uneven, irregular,""  an- ""not"" + homalos ""even"	His  anomalous behaviour was a first sign that he had a problem.	Common GRE	MSU	
56	anomaly	 an exception or unusual case	noun	" Latin/Greek anomalia= ""inequality , uneven, irregular,""  an- ""not"" + homalos ""even"	The student’s poor performance on the latest test was an anomaly since she had previously earned excellent grades.	357 prevalent GRE words	Prepscholar	
57	-ant 	performing, agent 	verb  noun		assistant</br>servant 	Suffix	MSU	
58	ante 	before 	Greek/Latin root	sometimes anti (when comes  Italian)</br> where ante and anti have merged to one word (eg. Antipasti)	antedate</br>anteroom</br>antecedent</br>anterior 	Greek/Latin 	MSU	
59	antediluvian	ancient; outmoded; 	adjective	" latin : ante= before, + deluge = literally ""before the flood"" (of Noah)"	For the development of this logo we chose an ancient antedeluvian technique: the traditional Chinese seal. 	Common GRE	MSU	
60	anthrop	man 	Greek/Latin root		anthropology</br>anthropomorphic 	Greek/Latin 	MSU	
61	anti 	against 	Greek/Latin root		antipathy</br> antitank</br> anticlimax 	Greek/Latin 	MSU	
63	antipathy	 strong dislike or hatred, hostility toward, objection, or aversion to	noun	" Latin/Greek antipathia   : anti- + pathein=""to feel, suffer"""	The students voiced their <u><b>antipathy</b> for homework</u> very loudly.	357 prevalent GRE words	Prepscholar	
64	antithetical	 contrary to the very nature of	adjective	"Greek/Latin :  anti- + tithenai ""to put, place,"""	Some critics say that <u>democracy is <b>antithetical</b> to the Islamic way of life. </u>	357 prevalent GRE words	Prepscholar	
65	apathy	Lack of interest, enthusiasm, or concern.  state of total disinterest or unenthusiasm	noun	Synonyms: indifference, passivity, ennui	Political parties try to engage young voters who are more prone to apathy than older citizens.	357 prevalent GRE words	Prepscholar	
67	appease	 to placate, to pacify, to satisfy	verb	" latin, french : a ""to"" (see ad-) + paix/paicem  ""peace"" =  to pacify. Sometimes also means to satisfy (an appetite, a need)"	These gestures were meant to appease the religious right 	357 prevalent GRE words	Prepscholar	
68	appropriate 	"1. adj. correct, proper, or in good taste. 2. v. to take for one's own use. to take possession of, without consent. A polite word for ""steal"""	adjective/verb	Note how the 2 uses of appropriate have diametrically opposite ethical values.  As an adjective it is good, as a verb it is bad. 	1. <u>The <b>appropriate</b> use for toothpaste is for brushing teeth</u><br>2.(2) The <u>advancing army <b>appropriated</b>food and other supplies</u>  the territories they occupied.	Homonym	MSU	
69	aqua 	water 	Greek/Latin root		aquarium</br> aqueous 	Greek/Latin 	MSU	
70	arbiter	a person who settles a dispute or has ultimate authority in a matter	noun	"  French arbitre= ""arbiter, judge""                                      </br>Synonyms: authority, judge, controller"	The  <u><b>arbiter</b>  helps the divorcing couple</u> come to terms on a settlement	Least Difficult	FT	
71	arbitrary	Based on random choice or personal whim, rather than any reason or system	adjective	Synonyms: capricious, random, chance	Since Jake’s teacher disliked him, she came up with an arbitrary punishment to help him remember his homework.	357 prevalent GRE words	Prepscholar	
73	arbitrate	to settle a dispute via mediation  (n: arbitration)	verb	" Latin :   arbiter ""a judge, umpire, mediator"". See arbitre (French) = umpire. Verb is arbitratation"	The mediator arbitrated the dispute between the two parties.	Common GRE	MSU	
74	arcane	 secret or known only to a select group	adjective	"Deutsch : geheimnisvoll, Obskur. Latin arcanus ""secret, hidden, private, concealed"	The traditional healer's arcane rituals confused her.	357 prevalent GRE words	Prepscholar	
75	archaic	 old-fashioned, adj. no longer in the common usage	adjective	"archaios=""old""+ic=""nature of, like"	In comparison to portable laptop computers, typewriters are considered archaic	357 prevalent GRE words	Prepscholar	
76	archaios 	ancient 	Greek/Latin root		archeology</br> archetype</br> archaic</br> archeozoic 	Greek/Latin 	MSU	
77	arch	leader</br> first</br> chief 	Greek/Latin root		monarchy</br> oligarchy</br> anarchy</br> archetype</br> architect </br> archbishop	Greek/Latin 	MSU	
78	arduous	 difficult, taxing, requiring considerable effort	adjective	" Latin arduus ""high, steep,"" also figuratively, ""difficult, hard to reach,"	Mountain climbing is fun but quite arduous.	357 prevalent GRE words	Prepscholar	
79	articulate	 exhibiting considerable communication skills, well-spoken	adjective, verb	Deutsch : 1. redegewandt UND </br>2. ein Gelenk bilden	1. His vast vocabulary allowed him to clearly articulate his opinions.       2. The lower jaw articulates with the skull.	357 prevalent GRE words	Prepscholar	
81	artless	 without artifice. without guile or deception	adjective	Synonyms: candid, direct, forthright. adj. natural, untrained	With her artless look, the girl next door looked beautiful even though she had no make-up on and didn’t style her hair.	357 prevalent GRE words	Prepscholar	
82	-ary, ery, ory 	relating to place where or quality	noun or adjective		dictionary</br> bravery</br> dormitory</br> aviary</br> ordinary</br> auditory	Suffix	MSU	
83	ascetic	 austere or self-denying	adjective	" Greek :  asketes ""monk, hermit,"" + ïc=""nature of, like"	The monk leads an ascetic life.	357 prevalent GRE words	Prepscholar	
85	assuage	 to provide relief from an unpleasant feeling. to make less severe; to appease or satisfy	verb	v. to satisfy a need or appetite	A massage can assuage the soreness in your muscles.	357 prevalent GRE words	Prepscholar	
86	astonishment	 total surprise, shock	noun	" Old French estoner ""to stun, daze, deafen, astound,""  Vulgar Latin *extonare, </br> Latin ex ""out"" + tonare ""to thunder"""	The homeless man looked at me in astonishment when I gave him the bag of money.	357 prevalent GRE words	Prepscholar	
87	-ate 	cause, make 	noun or adjective  verb		liquidate</br> segregate 	Suffix	MSU	
88	attenuate	weaken (adj: attenuated)	verb	" Latin : ad ""to"" (see ad-) + tenuare ""make thin""       </br>Deutsch : dämpfen, abschwächen"	The  contract includes a safeguard clause to <b><u>attenuate</b>  possible  additional costs demands.</u>	Common GRE	MSU	
91	audacious	 showing a willingness to take surprisingly bold risks. extremely bold; fearless, especially said of human behavior (n: audacity)	adjective	Synonyms: bold, daring, fearless	The new CEO <u>pursued <b>audacious</b> initiatives</u> to save the company from bankruptcy. </br> The student’s audacious remark earned her a seat in afternoon detention.	357 prevalent GRE words	Prepscholar	
92	audio 	hear</br> sound	Greek/Latin root		audiophile(someone who likes music)</br> audiometer(something that measures sound)</br> auditory(somewhere where one listens to lectures)	Greek/Latin 	MSU	
94	austere	 severe, unadorned. Having an extremely plain and simple style or appearance	adjective	" Old French austere ""strict, severe, harsh, cruel""                 </br>Synonyms: unadorned, subdued, stark"	Instead of being bleak and austere, hospitals should be warm and cheery.	357 prevalent GRE words	Prepscholar	
95	auto 	self 	Greek/Latin root		automatic</br> automaton</br> auto-immune 	Greek/Latin 	MSU	
96	avarice	 greed	noun	" Latin (via French) avaritia ""greed, inordinate desire"	The third of the 7 deadly Christian sins is avarice - greed	357 prevalent GRE words	Prepscholar	
98	aver	 to assert or allege. to declare	verb	"Deutsch : beteuern, behaupten. </br> Latin ad ""to""  + verus ""true"" - later meaning to assert with confident"	Many of those who voted for the President,  his opponent averred, did so because they were rooked by devious  lies	357 prevalent GRE words	Prepscholar	
100	banal	 boring, cliché, commonplace or trite (n: banality)	adjective		<u>I was bored to death because of his <b>banal</b> conversation</u>	357 prevalent GRE words	Prepscholar	
101	barefaced	unconcealed, shameless, or brazen	adjective	"with face uncovered or shaven;"" see bare + face : Thus, ""unconcealed"	It would be a barefaced lie to claim that there is freedom in Venezuela	Common GRE	MSU	
102	belie	 give a false impression (intentional or unintentional) in word, appearance, or deed	verb	Old English beleogan (Deutsch : belügen)	Janice hoped her smile would belie the sadness she felt.	357 prevalent GRE words	Prepscholar	
103	bene 	well</br> favorable 	Greek/Latin root		benefit</br> benevolent</br> benefactor</br> beneficent 	Greek/Latin 	MSU	
104	benign	 gentle, harmless	adjective	" Latin  ""well born,""  bene ""well""  + ""  genus ""birth"" "	Grandfather fortunately had a benign form of cancer	357 prevalent GRE words	Prepscholar	
105	bi 	two 	Greek/Latin root		bi-partisan</br> bisexual</br> biennial</br> binary</br> bicuspid</br> bivalve 	Greek/Latin 	MSU	
106	biased	 prejudiced, displaying partiality	adjective	From French : biais : a slant, a slope, an oblique, later figuratively : giving a bias to, causing to incline to one side	The bigot admits that he is u><b>biased</b> toward immigrants</u> and stereotypes people according to their race before he ever meets them	357 prevalent GRE words	Prepscholar	
107	bible 	book 	Greek/Latin root		bibliography</br> Bible</br> bibliophile 	Greek/Latin 	MSU	
108	bio 	life 	Greek/Latin root		biology</br> biography</br> bio-active 	Greek/Latin 	MSU	
109	blandishment	speech or action intended to coax someone into doing something, the use of flattery (sweet-talk) and enticements to persuade somebody gently to do something	noun	" Latin blandiri ""flatter, soothe, caress, coax,""</br>Deutsch : Schmeichelrei, schönreden"	Even though the salesman produced every <u><b>blandishment</b></u> he could think of from his <u>bag of tricks</u>, his prospect wouldn’t be budged by <u>his flattery.</u>	Common GRE	MSU	
